epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7419.18,0.49679,0.30434,0.88199,0.98907,0.99367,0.99355,0.94539,0.3493,0.20246,0.83452,0.0011882,0.0011882,0.0011882
43,7606.07,0.49055,0.29704,0.87959,0.9907,0.99432,0.99363,0.93988,0.36053,0.20554,0.8373,0.0011684,0.0011684,0.0011684
44,7796.79,0.49321,0.29849,0.88213,0.99233,0.99234,0.99367,0.94282,0.35538,0.20295,0.83367,0.0011486,0.0011486,0.0011486
45,7982.51,0.49254,0.30022,0.88268,0.992,0.99181,0.99379,0.94934,0.34846,0.19998,0.83185,0.0011288,0.0011288,0.0011288
46,8175.39,0.48831,0.29628,0.87759,0.993,0.99306,0.99381,0.95077,0.34159,0.19678,0.82866,0.001109,0.001109,0.001109
47,8365.5,0.48969,0.3003,0.88129,0.99101,0.99173,0.99375,0.94352,0.34987,0.20387,0.83503,0.0010892,0.0010892,0.0010892
48,8544.04,0.48455,0.29353,0.88005,0.99082,0.99067,0.9938,0.94528,0.34483,0.19857,0.83343,0.0010694,0.0010694,0.0010694
49,8737.35,0.47567,0.29099,0.87314,0.98969,0.992,0.99395,0.94998,0.34669,0.201,0.83232,0.0010496,0.0010496,0.0010496
50,8928.41,0.47714,0.28852,0.87612,0.99217,0.99367,0.99413,0.95102,0.33369,0.19016,0.82923,0.0010298,0.0010298,0.0010298
51,9114.32,0.47356,0.28408,0.87447,0.99211,0.99267,0.99406,0.95165,0.33673,0.19087,0.8295,0.00101,0.00101,0.00101
52,9302.21,0.47901,0.28717,0.87853,0.99234,0.99343,0.99409,0.95114,0.33757,0.19294,0.83178,0.0009902,0.0009902,0.0009902
53,9486.35,0.46911,0.28462,0.87385,0.99187,0.99433,0.99384,0.95083,0.33026,0.18967,0.83029,0.0009704,0.0009704,0.0009704
54,9674.92,0.46547,0.27872,0.87213,0.9925,0.99367,0.99425,0.95301,0.33762,0.188,0.82937,0.0009506,0.0009506,0.0009506
55,9860.5,0.46966,0.28162,0.87248,0.99235,0.99333,0.99415,0.95216,0.33301,0.1881,0.83155,0.0009308,0.0009308,0.0009308
56,10043.7,0.46705,0.28205,0.87397,0.9917,0.994,0.9942,0.95399,0.33139,0.18725,0.82652,0.000911,0.000911,0.000911
57,10244.5,0.46661,0.28304,0.873,0.99306,0.99333,0.99418,0.9538,0.33301,0.18681,0.83051,0.0008912,0.0008912,0.0008912
58,10425.4,0.4584,0.27477,0.87018,0.99164,0.99333,0.99421,0.9543,0.3336,0.18858,0.83305,0.0008714,0.0008714,0.0008714
59,10611.6,0.45375,0.27337,0.86894,0.99301,0.99435,0.99424,0.9573,0.32438,0.18093,0.83119,0.0008516,0.0008516,0.0008516
60,10801,0.45721,0.27392,0.87171,0.99202,0.99444,0.99427,0.95762,0.32648,0.18428,0.82588,0.0008318,0.0008318,0.0008318
